0.383581,0.221010,0.149762,0.175980,0.376293,0.268265
0.335474,0.221438,0.148806,0.175962,0.246605,0.269779
0.345955,0.220630,0.145757,0.176673,0.238746,0.278375
0.337759,0.219480,0.378908,0.172611,0.235682,0.504852
0.333193,0.217963,0.159572,0.172823,0.229198,0.284052
0.335240,0.217874,0.147461,0.184166,0.223676,0.273243
0.341012,0.218062,0.148451,0.164997,0.232421,0.275838
0.333157,0.218906,0.154582,0.169378,0.228310,0.274108
0.350343,0.218490,0.150347,0.168268,0.227315,0.277703
0.345385,0.220255,0.146843,0.173098,0.224577,0.272686
8.244275,2.656082,2.253799,2.765359,4.345935,4.994755
4.520017,6.038007,2.146728,2.765577,3.889601,6.337510
8.219569,2.611317,2.194636,2.767873,3.842580,6.388049
4.477617,3.045090,2.132533,4.663136,4.083564,5.619286
4.448554,2.589787,2.222980,3.554630,3.815032,5.593100
4.459177,2.593967,2.139083,2.637921,4.113998,5.692643
7.005509,2.682936,3.244348,2.740389,3.749124,6.576784
6.995472,3.514240,5.523925,2.784230,3.871594,6.238101
8.225718,2.699787,3.157416,2.978758,3.775289,6.483568
4.456652,2.636431,2.995665,3.932056,3.899924,5.463022
20.823075,12.623106,11.447053,20.587194,15.752904,21.996255
19.457854,12.008821,10.982295,20.319544,19.441508,23.042619
19.518282,12.597379,11.455625,14.198840,17.490919,24.022017
19.469664,12.079917,11.053429,19.027437,18.648754,25.578061
19.516190,19.097795,11.469772,17.793051,18.858222,22.728634
19.470226,12.194825,11.020326,17.327366,17.787682,22.516197
19.554822,12.628299,11.389877,16.063478,17.596063,25.385423
19.451770,12.213793,13.052656,14.928401,17.534202,24.213990
19.526016,12.658256,13.176380,13.958013,18.993837,22.679244
19.436965,12.130225,10.625335,15.314714,15.891206,22.838396
57.967763,51.855177,61.593614,43.670785,58.619511,77.656452
54.063302,52.798534,54.183854,49.975337,59.250032,78.012119
54.052318,42.204121,48.658312,31.600720,59.617789,80.077871
86.551745,85.992124,58.492294,45.745145,61.534414,78.736734
66.407196,94.913114,65.981474,43.348990,62.353161,83.585920
54.635407,61.006344,52.819982,45.470301,65.430252,82.978104
82.399855,81.621412,58.775578,46.950511,56.540498,80.173698
75.496411,70.597546,48.013254,42.374445,64.590029,81.116172
71.803881,69.556984,42.540777,46.995318,59.296724,82.392291
78.804236,87.588789,35.781343,50.591100,60.057987,80.496662
25.844916,20.826193,18.157004,13.867029,20.637424,27.636741
26.004119,21.286113,16.675176,18.791161,21.912696,28.618326
26.325172,26.809979,19.168286,14.151035,21.878634,27.403930
20.223756,14.388544,15.620123,16.503535,22.766511,27.753159
20.433127,14.123349,16.565338,16.525405,20.661542,28.629534
15.811865,26.202227,17.102586,16.479875,21.323001,29.697458
20.346349,11.750942,11.248654,14.141581,20.769472,28.176185
21.114598,11.283341,13.535767,10.082540,21.690635,28.174477
25.383222,28.588385,17.254871,9.511728,23.882551,29.396710
20.505420,18.036203,19.142349,9.863210,23.160517,28.982132
